,var,coefficient
0,petitionerState_1,-0.018005508745666397
1,petitionerState_10,0.003659862268388857
2,petitionerState_12,0.023686591389923798
3,petitionerState_13,0.0063056516749836235
4,petitionerState_15,0.012432670941351871
5,petitionerState_17,-0.01947419199174301
6,petitionerState_18,-0.005637250642041145
7,petitionerState_2,-0.04973371717930886
8,petitionerState_22,0.01324090720558871
9,petitionerState_25,0.051358391913388535
10,petitionerState_26,0.019600516632286895
11,petitionerState_27,-0.012003062554970098
12,petitionerState_28,-0.0068591398360217755
13,petitionerState_29,0.0353846625069456
14,petitionerState_30,-0.03870209636473846
15,petitionerState_32,0.04293375367561216
16,petitionerState_33,0.03956024440370932
17,petitionerState_35,0.03436555174934069
18,petitionerState_37,-0.0032074815129734986
19,petitionerState_38,-0.015287654613749582
20,petitionerState_4,-0.03891025450123304
22,petitionerState_42,-0.025544946494578974
23,petitionerState_45,0.034211031797888695
24,petitionerState_47,-0.046521072391184026
25,petitionerState_48,-0.004036232726512161
26,petitionerState_5,0.0261076357197619
27,petitionerState_50,-0.022951694493802927
28,petitionerState_52,-0.00026654413499587083
29,petitionerState_55,-0.007475524716448005
30,petitionerState_56,0.018741456093761207
31,petitionerState_57,-0.03424554901121113
32,petitionerState_58,0.05082311940291453
33,petitionerState_6,-0.02018148230966589
34,petitionerState_60,-0.008410741838252831
35,petitionerState_8,0.013635177998278286
36,petitionerState_20,-0.0021387055329559887
37,petitionerState_21,0.0013472076885640378
38,petitionerState_23,-0.022531570614503657
39,petitionerState_43,-0.002490042804318801
40,petitionerState_51,-0.058153432674187384
41,petitionerState_53,0.010860460921142234
42,petitionerState_61,0.010734752670514115
43,petitionerState_7,-0.017554597465282384
44,petitionerState_9,0.012527832500149839
45,petitionerState_14,-0.10312172870677407
46,petitionerState_16,0.00473279274208494
47,petitionerState_19,-0.003228429226294181
48,petitionerState_31,0.04955519170108786
49,petitionerState_34,0.006965500106330446
50,petitionerState_36,-0.025142144668890008
51,petitionerState_39,0.00861470492092307
52,petitionerState_46,-0.03033281277824089
53,petitionerState_49,0.012697464581349361
54,petitionerState_54,-0.08038103221962146
55,petitionerState_59,-0.022021667810657442
56,respondentState_1,-0.00356897876134844
57,respondentState_10,-0.01125531187210224
58,respondentState_12,-0.018606252889183574
59,respondentState_13,0.026523836881052323
60,respondentState_15,0.010512646997402087
61,respondentState_17,-0.0660920136457263
62,respondentState_18,-0.05028303968837978
63,respondentState_19,0.002610945161129245
64,respondentState_2,0.017415905276085032
65,respondentState_20,-0.005489244487242626
66,respondentState_21,-0.046926372851021296
67,respondentState_22,0.012474286269099367
68,respondentState_25,-0.013483115911267276
69,respondentState_26,-0.015067745842228078
70,respondentState_27,-0.026261870911438893
71,respondentState_28,-0.002054693986463452
72,respondentState_29,-0.022455447574031662
73,respondentState_30,0.015590952959577038
74,respondentState_31,0.014466606765533152
75,respondentState_32,-0.020688534656829308
76,respondentState_34,0.04094278374373149
77,respondentState_35,0.0006647028135833825
78,respondentState_36,-0.020470011408485006
79,respondentState_37,-0.02597012669058305
80,respondentState_38,-0.018872520826377512
81,respondentState_4,-0.04446512890293424
82,respondentState_41,-0.03386834980493798
83,respondentState_42,0.0076614248498095994
84,respondentState_43,-0.040694174350177616
85,respondentState_45,-0.051082401829219116
86,respondentState_47,-0.007076603394944482
87,respondentState_48,0.015578340576179085
88,respondentState_5,0.01360023397568994
89,respondentState_50,0.0012739837867535282
90,respondentState_51,-0.006204853460750703
91,respondentState_52,-0.03646002569245521
92,respondentState_55,0.0007345092185032635
93,respondentState_56,-0.03173971926447698
94,respondentState_57,0.05122893376734767
95,respondentState_58,-0.07082987299968699
96,respondentState_59,-0.048915618068346337
97,respondentState_6,-0.05798513842529944
98,respondentState_60,0.029505413042763287
99,respondentState_7,-0.012936442902414368
100,respondentState_8,0.0029362050865923283
101,respondentState_9,-0.022774119856314647
102,respondentState_16,0.03294276252300132
103,respondentState_33,-0.015492728093551832
104,respondentState_53,-0.019931193792416736
105,respondentState_61,-0.02383995003289419
106,respondentState_23,-0.025329266023503022
107,respondentState_39,0.01590984105952056
108,respondentState_46,0.016826777225089753
109,respondentState_49,-0.02258930692418521
110,respondentState_14,-0.10254317577221268
111,jurisdiction_1,-0.042880433439078186
112,jurisdiction_12,-0.045609858734178846
113,jurisdiction_14,-0.06617839809833034
114,jurisdiction_15,-0.046604956504230195
115,jurisdiction_2,0.010634945982332335
116,jurisdiction_4,-0.02650889044815062
117,jurisdiction_6,-0.0027266274789047545
118,jurisdiction_7,0.04406047053848098
119,jurisdiction_8,-0.08856845565413977
120,jurisdiction_9,0.034767505115671074
121,jurisdiction_5,-0.14771718748259652
123,caseOrigin_100,0.004540254176140026
124,caseOrigin_101,-0.02603577513834967
125,caseOrigin_103,-0.02526679645243907
126,caseOrigin_104,0.02000866220595497
127,caseOrigin_105,-0.006165754684178547
128,caseOrigin_106,-0.03326583227167559
129,caseOrigin_107,-0.058169954539831994
130,caseOrigin_108,0.0712521722820378
131,caseOrigin_109,-0.02224957814532151
132,caseOrigin_110,3.053081613187926e-05
133,caseOrigin_111,-0.013991805724276232
134,caseOrigin_112,0.033529456600176574
